"id"|"id_registre"|"url"|"orientation"
51642|24878|http://images.cfregisters.org/M119_02_R90/M119_02_R90_217r.jpg|recto
51677|24895|http://images.cfregisters.org/M119_02_R90/M119_02_R90_252v.jpg|verso
51681|24897|http://images.cfregisters.org/M119_02_R90/M119_02_R90_256v.jpg|verso
51638|24876|http://images.cfregisters.org/M119_02_R90/M119_02_R90_213r.jpg|recto
51697|24905|http://images.cfregisters.org/M119_02_R90/M119_02_R90_272v.jpg|verso
51664|24889|http://images.cfregisters.org/M119_02_R90/M119_02_R90_239r.jpg|recto
51693|24903|http://images.cfregisters.org/M119_02_R90/M119_02_R90_268v.jpg|verso
51668|24891|http://images.cfregisters.org/M119_02_R90/M119_02_R90_243r.jpg|recto
51658|24886|http://images.cfregisters.org/M119_02_R90/M119_02_R90_233r.jpg|recto
51672|24893|http://images.cfregisters.org/M119_02_R90/M119_02_R90_247r.jpg|recto
51699|24906|http://images.cfregisters.org/M119_02_R90/M119_02_R90_274v.jpg|verso
51646|24880|http://images.cfregisters.org/M119_02_R90/M119_02_R90_221r.jpg|recto
51666|24890|http://images.cfregisters.org/M119_02_R90/M119_02_R90_241r.jpg|recto
51662|24888|http://images.cfregisters.org/M119_02_R90/M119_02_R90_237r.jpg|recto
51670|24892|http://images.cfregisters.org/M119_02_R90/M119_02_R90_245r.jpg|recto
51676|24895|http://images.cfregisters.org/M119_02_R90/M119_02_R90_251r.jpg|recto
51692|24903|http://images.cfregisters.org/M119_02_R90/M119_02_R90_267r.jpg|recto
51696|24905|http://images.cfregisters.org/M119_02_R90/M119_02_R90_271r.jpg|recto
51654|24884|http://images.cfregisters.org/M119_02_R90/M119_02_R90_229r.jpg|recto
51653|24883|http://images.cfregisters.org/M119_02_R90/M119_02_R90_228v.jpg|verso
51618|24866|http://images.cfregisters.org/M119_02_R90/M119_02_R90_193r.jpg|recto
51685|24899|http://images.cfregisters.org/M119_02_R90/M119_02_R90_260v.jpg|verso
51698|24906|http://images.cfregisters.org/M119_02_R90/M119_02_R90_273r.jpg|recto
51688|24901|http://images.cfregisters.org/M119_02_R90/M119_02_R90_263r.jpg|recto
51700|24907|http://images.cfregisters.org/M119_02_R90/M119_02_R90_275r.jpg|recto
51644|24879|http://images.cfregisters.org/M119_02_R90/M119_02_R90_219r.jpg|recto
51690|24902|http://images.cfregisters.org/M119_02_R90/M119_02_R90_265r.jpg|recto
51652|24883|http://images.cfregisters.org/M119_02_R90/M119_02_R90_227r.jpg|recto
51702|24908|http://images.cfregisters.org/M119_02_R90/M119_02_R90_277r.jpg|recto
51675|24894|http://images.cfregisters.org/M119_02_R90/M119_02_R90_250v.jpg|recto
51713|24913|http://images.cfregisters.org/M119_02_R90/M119_02_R90_288v.jpg|verso
51723|24918|http://images.cfregisters.org/M119_02_R90/M119_02_R90_298v.jpg|verso
51725|24919|http://images.cfregisters.org/M119_02_R90/M119_02_R90_300v.jpg|verso
51721|24917|http://images.cfregisters.org/M119_02_R90/M119_02_R90_296v.jpg|verso
51706|24910|http://images.cfregisters.org/M119_02_R90/M119_02_R90_281r.jpg|recto
51703|24908|http://images.cfregisters.org/M119_02_R90/M119_02_R90_278v.jpg|verso
51710|24912|http://images.cfregisters.org/M119_02_R90/M119_02_R90_285r.jpg|recto
51731|24922|http://images.cfregisters.org/M119_02_R90/M119_02_R90_306v.jpg|verso
51708|24911|http://images.cfregisters.org/M119_02_R90/M119_02_R90_283r.jpg|recto
51737|24925|http://images.cfregisters.org/M119_02_R90/M119_02_R90_312v.jpg|verso
51722|24918|http://images.cfregisters.org/M119_02_R90/M119_02_R90_297r.jpg|recto
51747|24930|http://images.cfregisters.org/M119_02_R90/M119_02_R90_322v.jpg|verso
51739|24926|http://images.cfregisters.org/M119_02_R90/M119_02_R90_314v.jpg|verso
51714|24914|http://images.cfregisters.org/M119_02_R90/M119_02_R90_289r.jpg|recto
51733|24923|http://images.cfregisters.org/M119_02_R90/M119_02_R90_308v.jpg|verso
51727|24920|http://images.cfregisters.org/M119_02_R90/M119_02_R90_302v.jpg|verso
51728|24921|http://images.cfregisters.org/M119_02_R90/M119_02_R90_303r.jpg|recto
51718|24916|http://images.cfregisters.org/M119_02_R90/M119_02_R90_293r.jpg|recto
51753|24933|http://images.cfregisters.org/M119_02_R90/M119_02_R90_328v.jpg|verso
51765|24939|http://images.cfregisters.org/M119_02_R90/M119_02_R90_340v.jpg|verso
51730|24922|http://images.cfregisters.org/M119_02_R90/M119_02_R90_305r.jpg|recto
