"id"|"id_auteur"|"titre"|"genre"|"actes"|"prose_vers"|"prologue"|"musique_danse_machine"|"titre_alternatif"|"date_de_creation"
5474|{253}|Antiochus ou Les Macchabées|tragédie|5|vers|false|false||1721-12-06
5480|{178}|Artaxare|tragédie|5|vers|false|false||1718-05-03
5482|{252}|Artaxerce|tragédie|5|vers|false|false||1735-12-19
5483|{5}|Artémire|tragédie|5|vers|false|false||1720-02-15
5485|{45}|Athénaïs|tragédie|5|vers|false|false||1699-11-20
5487|{259}|Bajazet premier|tragédie|5|vers|false|false||1739-08-06
5488|{260}|Basile et Quitterie|tragi-comédie|3|vers|true|true||1723-01-13
5492|{91}|Callisthène|tragédie|5|vers|false|false||1730-02-18
5494|{115}|Cartouche ou les Voleurs|comédie|3|prose|false|true||1721-10-21
5495|{45}|Cassius et Victorinus martyrs|tragédie|5|vers|false|false||1732-10-06
5498|{227}|Childéric|tragédie|5|vers|false|false||1736-12-19
5499|{262}|Cléarque, tyran d'Héraclée|tragédie|5|vers|false|false||1717-11-26
5500|{251}|Cléopâtre|tragédie|5|vers|false|false||1681-12-12
5503|{263}|Coriolan|tragédie|5|vers|false|false||1722-02-28
5507|{77}|Crispin musicien|comédie|5|vers|false|true||
5511|{56}|Don Bertrand de Cigarral|comédie|5|vers|false|true||
5513|{267}|Don Ramire et Zaïde|tragédie|5|vers|false|false||1728-01-24
5514|{175}|Édouard III|tragédie|5|vers|false|false||1740-01-22
5515|{225}|Électre|tragédie|5|vers|false|false||1719-02-22
5517|{45}|Érigone|tragédie|5|vers|false|false||1731-12-17
5518|{5}|Ériphile|tragédie|5|vers|false|false||1732-03-07
5519|{269}|Ésope au Parnasse|comédie|1|vers|false|true||1739-10-14
5523|{272}|Géta|tragédie|5|vers|false|false||1687-01-29
5524|{262}|Habis|tragédie|5|vers|false|false||1714-04-17
5530|{274,110}|Je vous prends sans verd /  Le Contrat (titre alt.)|comédie|1|vers|false|true||1693-05-01
5531|{18}|Joconde|comédie|1|prose|false|true||1740-11-05
5536|{45}|Accommodement imprévu (L')|comédie|1|vers|false|false||1737-11-12
5537|{118}|Amant de sa femme ou la Rivale d'elle-même (L')|comédie|1|prose|false|false||1721-09-19
5541|{275}|Amante en tutelle (L')|comédie|3|vers|true|false||1735-08-17
5542|{18}|Amitié rivale (L')|comédie|5|vers|false|false||1735-11-16
5543|{19}|Amour vengé (L')|comédie|1|vers|false|false||1712-10-14
5544|{148}|Après-souper des auberges (L') / Les Auberges (titre alt.)|comédie|1|vers|false|true||
5545|{9}|Assemblée des comédiens (L')|prologue|1|""|true|false||1724-09-22
5548|{14}|Éclipse (L')|comédie|1|prose|false|true||1724-06-08
5549|{178}|École de l'hymen (L')|comédie|3|prose/vers|true|true||1737-09-28
5550|{277}|École des amants (L')|comédie|3|vers|false|false||1718-10-18
5551|{84}|École des jaloux ou le Cocu volontaire (L') / La Fausse Turquie (titre alt.) / La Turquie (titre alt.) / Le Grand Turc (titre alt.)|comédie|3|vers|false|false||
5552|{7}|École du monde (L')|dialogue|1|vers|true|false||1739-10-14
5554|{270}|Effet de la prévention (L')|comédie|1|prose|false|true||1731-02-10
5555|{20}| Belle orgueilleuse ou l'Enfant gâté (La)|comédie|1|prose|false|false||1741-08-17
5558|{20}|Envieux ou la Critique du Philosophe marié (L')|comédie|1|prose|false|false||1727-05-03
5560|{14}|Été des coquettes (L')|comédie|1|prose|false|true||1690-07-12
5562|{278}|Heure du berger (L')|comédie|1|prose|false|true||1737-11-12
5563|{270}|Heureux échange (L')|comédie|5|vers|false|false||1740-10-22
5565|{51}|Île de la raison ou les Petits hommes (L')|comédie|3|prose|true|true||1727-09-11
5566|{118}|Impatient (L')|comédie|5|vers|true|false||1724-01-26
5567|{118}|Impertinent malgré lui (L')|comédie|5|vers|false|false||1729-05-14
5568|{115}|Impromptu de la folie (L')|ambigu-comique|2|prose|true|true||1725-11-05
5572|{98}|Italie galante ou les contes (L')|ambigu-comique|3|prose|true|true||1731-05-11
5573|{7}|Ombre de Molière (L')|prologue|1|vers|false|false||1739-10-14
5578|{147}|Opiniâtre (L')|comédie|3|vers|false|false||1722-05-19
5579|{280}|Oracle de Delphes (L')|comédie|3|vers|false|false||1722-12-17
5582|{14}|Belle-mère (La)|comédie|5|vers|false|false||1725-04-21
5583|{184}|Boîte de Pandore (La)|comédie|1|prose|false|false||1729-03-18
5585|{115}|Chasse du cerf (La)|comédie-ballet|3|prose|true|true||1726-10-14
5587|{14}|Comédie des comédiens ou l'Amour charlatan (La)|comédie|3|prose|false|true||1710-08-05
5590|{281}|Comtesse de Follenville (La)|comédie|1|prose|false|false||1720-10-11
5592|{282}|Critique de la Fausse antipathie (La)|comédie|1|prose/vers|false|false||1734-03-11
5596|{245,56}|Devineresse ou les Faux enchantements  (La)|comédie|5|prose|false|true||
5599|{14}|Enfants de Paris (Les) ou Famille à la mode (La) ou Finette|comédie|5|vers|false|false||1699-12-18
5600|{190}|Fausse comtesse (La)|comédie|1|prose|false|true||1726-07-27
5601|{178}|Fausse inconstance (La)|comédie|3|vers|false|false||1732-09-15
5603|{14}|Femme d'intrigues (La)|comédie|5|prose|false|false||1692-01-30
5609|{14}|Foire de Bezons (La)|comédie|1|prose|false|true||1695-08-13
5613|{115}|Française italienne (La)|comédie|1|prose|false|true||1725-11-05
5615|{18}|Grondeuse (La)|comédie|1|prose|false|true||1734-02-11
5616|{14}|Guinguette de la finance (La)|comédie|1|prose|false|true||1716-05-19
5624|{288}|Méprise (La)|comédie|1|prose|true|false||1739-11-14
5626|{14}|Dieux comédiens ou la Métempsycose des amours (Les)|comédie|3|vers|true|true||1717-12-17
5640|{293}|Rencontre imprévue (La)  ou la Surprise des amants (La)|comédie|3|prose|false|false||1735-10-14
5642|{294}|Caprice et la Ressource (Le) /  le Prologue (titre alt.)|prologue|1|vers|false|false||1732-10-01
5643|{51}|Réunion des amours (La)|comédie héroïque|1|prose|false|false||1731-11-05
5645|{288}|Suivante désintéressée (La)|comédie|1|prose|true|false||1739-11-14
5646|{15}|Thébaïde ou les Frères ennemis (La)|tragédie|5|vers|false|false||
5648|{295}|Tragédie en prose ou la Tragédie extravagante (La)|comédie|1|prose|false|true||1730-05-04
5649|{14}|Trahison punie (La)|comédie|5|vers|false|false||1707-11-28
5650|{277}|Vengeance de l'amour (La)|comédie|5|vers|false|false||1721-12-04
5655|{118}|Badinage (Le)|comédie|1|vers|false|false||1733-11-23
5658|{273}|Ballet extravagant (Le)|comédie|1|prose|false|true||1690-06-21
5664|{270}|Cadet de Gascogne (Le)|comédie|1|""|false|false||1715-10-11
5666|{297}|Camp de Porché-Fontaine (Le)|comédie|1|prose|false|true||1722-10-09
5670|{14}|Chevalier à la mode (Le)|comédie|5|prose|false|false||1687-10-24
5671|{125}|Chevalier Bayard (Le)|comédie héroïque|5|vers|false|false||1731-11-23
