"id"|"id_registre"|"id_piece"|"debut"|"reprise"|"ordre"|"gratuit"|"notes_public"|"notes_lieu"|"notes_representation"
70588|43967|5051|false|false|1|false||au Palais Royal|"27e"
70604|43974|5812|false|false|1|false||au Palais Royal|"28e"
70618|43981|4916|false|false|1|false||au Palais Royal|"29e"
70489|43912|5385|false|true|1|false||au Palais Royal|"19e"
70628|43987|4916|false|false|1|false||au Palais Royal|"30e"
70642|43994|5073|false|false|1|false||au Palais Royal|"31e"
70658|44001|5092|false|false|1|false||au Palais Royal|"32e"
70673|44008|5092|false|false|1|false||au Palais Royal|"33e"
70699|44021|5092|false|false|1|false||au Palais Royal|"34e"
70712|44028|5670|false|false|1|false||au Palais Royal|"35e"
70730|44038|5396|false|false|1|false||au Palais Royal|"36e"
70742|44044|4858|false|false|1|false||au Palais Royal|"37e"
70750|44048|5134|false|false|1|false||au Palais Royal|"38e"
70766|44055|5103|false|false|1|false||au Palais Royal|"39e"
70794|44068|4922|false|false|1|false||au Palais Royal|"40e"
70808|44075|4857|false|false|1|false||au Palais Royal|"41e"
70838|44091|5218|false|false|1|false||au Palais Royal|"44e"
70860|44104|5282|true|false|1|false||au Palais Royal|"46e"
70870|44109|5282|true|false|1|false||au Palais Royal|"47e"
70822|44082|4950|false|false|1|false||au Palais Royal|"42e"
70831|44087|4932|false|false|1|false||au Palais Royal|"43e"
70848|44097|5372|false|false|1|false||au Palais Royal|"45e"
71259|43213|5195|false|false|2|false||Palais Royal|
71345|45377|5396|false|false|1|false||Palais Royal|
71337|45371|5162|false|false|1|false||Palais Royal|
71327|45364|5421|false|false|1|false||Palais Royal|
71305|45349|18|false|false|1|false||Palais Royal|
71297|45343|4859|false|false|1|false||Palais Royal|
71298|45343|5544|false|false|2|false||Palais Royal|
71286|45336|5507|false|false|1|false||Palais Royal|
71275|45329|5409|false|false|1|false||Palais Royal|
71513|45476|5322|false|false|1|false||Palais Royal|
71514|45476|4904|false|false|2|false||Palais Royal|
71444|45435|5284|false|false|1|false||Palais Royal|
71445|45435|5127|false|false|2|false||Palais Royal|
71365|45391|5421|false|false|1|false||Palais Royal|
71366|45391|5690|false|false|2|false||Palais Royal|
71468|45449|5117|false|false|1|false||Palais Royal|
71457|45442|4937|false|false|1|false||Palais Royal|
71458|45442|5550|false|false|2|false||Palais Royal|
71418|45420|4879|false|false|1|false||Palais Royal|
71419|45420|5550|false|false|2|false||Palais Royal|
71404|45413|5051|false|false|1|false||Palais Royal|
71390|45406|4879|false|false|1|false||Palais Royal|
71391|45406|1345|false|false|2|false||Palais Royal|
71376|45398|5051|false|false|1|false||Palais Royal|
71377|45398|4907|false|false|2|false||Palais Royal|
71602|45527|5086|false|false|1|false||Palais Royal|
